date,quotation,speaker,qids,probas
2020-01-31,"Brexit is the victory of the common people against multinational corporations, special interests and other elites,",Laura Huhtasaari,['Q20251661'],"[['Laura Huhtasaari', '0.9325'], ['None', '0.059'], ['Philippe Lamberts', '0.0075'], ['Emmanuel Macron', '0.001']]"
2020-02-13,"Certainly Brexit was a big issue and people were frustrated with years of delays and parliamentary paralysis,",Pat McFadden,['Q694676'],"[['Pat McFadden', '0.9371'], ['None', '0.0535'], ['Jeremy Corbyn', '0.0094']]"
2020-03-08,"I backed leave and voted leave, but I never called myself a Brexiteer, because I don't like being labelled,",Jason McCartney,"['Q1341937', 'Q16211383', 'Q694825']","[['Jason McCartney', '0.8274'], ['None', '0.128'], ['Lisa Nandy', '0.0241'], ['Jeremy Corbyn', '0.0205']]"
2020-02-14,"legacy, bad faith on pensions, Brexit and political and financial commitments to make the Assembly and Executive sustainable",Michelle O'Neill,['Q6837191'],"[[""Michelle O'Neill"", '0.8055'], ['None', '0.1302'], ['Brandon Lewis', '0.0438'], ['Simon Coveney', '0.0205']]"
2020-01-27,"we're only at half-time on Brexit, it's not done yet.",Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.9378'], ['None', '0.0502'], ['Boris Johnson', '0.012']]"
2020-01-28,"I sometimes thought, don't the British have anything else to do but Brexit? So many people were demonstrating to stay after all that the outcome seemed really open, we really didn't know whether it would be for or against the EU.",Karin Kessler,['Q1472234'],"[['Karin Kessler', '0.8665'], ['None', '0.1335']]"
2020-01-20,"There are some dark clouds hovering around Brexit and the economy currently, and I do not feel savers nor lenders will benefit from a reduction to the interest-rate.",None,[],"[['None', '0.5705'], ['Mike Brown', '0.4295']]"
2020-01-06,rhoi' r gorau i ddadlau o blaid math o Brexit sydd yn amddiffyn buddiannau Cymreig,None,[],"[['None', '0.4269'], ['Mark Drakeford', '0.368'], ['Boris Johnson', '0.2051']]"
2020-01-29,the whole landscape of Brexit has changed,Robbie Gibb,['Q32533149'],"[['Robbie Gibb', '0.8578'], ['None', '0.1099'], ['Theresa May', '0.0323']]"
2020-01-28,Unfortunately we didn't manage the stop the Brexit bus but we can try and protect the people of Scotland from the crash. That's our priority.,Heather Anderson,"['Q15463471', 'Q30041417']","[['Heather Anderson', '0.6442'], ['None', '0.3558']]"
